invoice_id,vendor_id,vendor_name,business_unit_id,po_number,grn_number,invoice_amount,invoice_date,due_date,payment_status,currency
INV-00065,VEND-035,Rodriguez-Graham,BU-01,PO-88561,GRN-76616,19487.51,2023-08-15,2023-09-14,Paid,USD
INV-00066,VEND-032,"Ferrell, Rice and Maddox",BU-05,PO-46208,GRN-64387,43269.33,2023-09-28,2023-10-28,Paid,USD
INV-00067,VEND-127,Diaz Inc,BU-04,PO-10336,GRN-47072,13725.05,2023-01-08,2023-02-07,Paid,USD
INV-00068,VEND-148,Bryant Group,BU-04,PO-96499,GRN-74178,29206.21,2023-11-29,2023-12-29,Pending,USD
INV-00069,VEND-112,"Rodriguez, Brennan and Garrison",BU-02,PO-55236,GRN-53573,27159.74,2023-12-09,2024-01-08,Paid,USD
INV-00070,VEND-137,"Jackson, Miller and Robertson",BU-03,PO-52176,GRN-34727,19171.9,2023-10-25,2023-11-24,Overdue,USD
INV-00071,VEND-059,Gomez-Jenkins,BU-04,PO-40613,GRN-63841,28803.98,2023-08-12,2023-09-11,Paid,USD
INV-00072,VEND-119,"Rivera, Johnson and Wiley",BU-03,PO-59968,GRN-60604,35408.78,2023-05-28,2023-06-27,Overdue,USD
INV-00073,VEND-036,Smith-Bowen,BU-01,PO-14852,GRN-26547,25018.77,2023-07-05,2023-08-04,Paid,USD
INV-00074,VEND-149,"Schmidt, Hansen and Stewart",BU-03,PO-23154,GRN-67711,16933.74,2023-01-03,2023-02-02,Paid,USD
INV-00075,VEND-114,Torres-Pope,BU-05,PO-28894,GRN-63736,1259.71,2023-05-17,2023-06-16,Pending,USD
INV-00076,VEND-037,"Baker, Mason and White",BU-02,PO-44737,GRN-54375,4204.0,2023-04-26,2023-05-26,Paid,USD
INV-00077,VEND-099,Walsh LLC,BU-03,PO-53065,GRN-98389,32666.91,2023-10-20,2023-11-19,Pending,USD
INV-00078,VEND-095,Harris-Walters,BU-02,PO-92155,GRN-73956,47729.91,2023-06-01,2023-07-01,Pending,USD
INV-00079,VEND-007,"Henderson, Ramirez and Lewis",BU-03,PO-40771,GRN-92727,31064.24,2023-11-28,2023-12-28,Paid,USD
INV-00080,VEND-071,House-Glover,BU-03,PO-21846,GRN-66881,49872.58,2023-12-13,2024-01-12,Overdue,USD
INV-00081,VEND-023,Morales-Jones,BU-05,PO-49251,GRN-13794,22462.09,2023-11-21,2023-12-21,Paid,USD
INV-00082,VEND-012,Arnold Ltd,BU-03,PO-59131,GRN-66450,15021.7,2023-06-12,2023-07-12,Paid,USD
INV-00083,VEND-133,"Carroll, Sullivan and Bass",BU-04,PO-99364,GRN-33600,20896.56,2023-07-29,2023-08-28,Paid,USD
INV-00084,VEND-018,"Adams, Zuniga and Wong",BU-03,PO-60140,GRN-91226,30669.84,2023-10-18,2023-11-17,Paid,USD
INV-00085,VEND-125,Smith-Frost,BU-04,PO-28758,GRN-40433,45685.04,2023-10-13,2023-11-12,Paid,USD
INV-00086,VEND-063,"West, Henderson and Ramirez",BU-01,PO-97404,GRN-11231,23248.74,2023-08-01,2023-08-31,Pending,USD
INV-00087,VEND-117,Rasmussen LLC,BU-05,PO-98815,GRN-81643,45109.87,2023-11-07,2023-12-07,Paid,USD
INV-00088,VEND-111,"Shields, Cochran and Adams",BU-03,PO-87014,GRN-49210,47289.16,2023-08-23,2023-09-22,Paid,USD
INV-00089,VEND-106,"Wright, Garcia and Deleon",BU-03,PO-69878,GRN-49599,34670.52,2023-12-15,2024-01-14,Paid,USD
INV-00090,VEND-096,Wagner-King,BU-04,PO-23979,GRN-41091,42740.11,2023-03-27,2023-04-26,Paid,USD
INV-00091,VEND-089,Moore-Bass,BU-03,PO-48696,GRN-12875,28953.19,2023-07-09,2023-08-08,Overdue,USD
INV-00092,VEND-099,Walsh LLC,BU-03,PO-84177,GRN-99889,14086.78,2023-03-27,2023-04-26,Paid,USD
INV-00093,VEND-010,Blair PLC,BU-04,PO-75107,GRN-47512,45575.54,2023-04-16,2023-05-16,Paid,USD
INV-00094,VEND-056,"Washington, Ryan and Cummings",BU-04,PO-56179,GRN-38705,30549.72,2023-06-19,2023-07-19,Paid,USD
INV-00095,VEND-062,Wright and Sons,BU-04,PO-96400,GRN-99241,34049.34,2023-07-08,2023-08-07,Pending,USD
INV-00096,VEND-022,Perez Inc,BU-04,PO-94717,GRN-15167,45218.48,2023-01-12,2023-02-11,Paid,USD
INV-00097,VEND-110,Patton-Jenkins,BU-03,PO-57823,GRN-27224,2151.54,2023-06-01,2023-07-01,Paid,USD
INV-00098,VEND-073,"Stanley, Tucker and Lee",BU-01,PO-64460,GRN-33021,16672.6,2023-05-11,2023-06-10,Paid,USD
INV-00099,VEND-136,"Lewis, Kennedy and Santana",BU-02,PO-57953,GRN-79579,43884.8,2023-09-17,2023-10-17,Paid,USD
INV-00100,VEND-067,Novak and Sons,BU-02,PO-43681,GRN-73156,41608.39,2023-09-21,2023-10-21,Overdue,USD
INV-00101,VEND-073,"Stanley, Tucker and Lee",BU-01,PO-54396,GRN-25095,37454.69,2023-11-06,2023-12-06,Paid,USD
INV-00102,VEND-017,"Flowers, Martin and Kelly",BU-05,PO-39571,GRN-98647,7467.47,2023-06-07,2023-07-07,Paid,USD
INV-00103,VEND-099,Walsh LLC,BU-03,PO-83048,GRN-57942,48379.85,2023-10-09,2023-11-08,Paid,USD
INV-00104,VEND-099,Walsh LLC,BU-03,PO-80329,GRN-26199,1188.97,2023-03-06,2023-04-05,Paid,USD
INV-00105,VEND-065,Morton-Chase,BU-05,PO-93695,GRN-58689,29435.72,2023-11-23,2023-12-23,Paid,USD
INV-00106,VEND-057,"Johnston, Sanchez and Kennedy",BU-01,PO-91205,GRN-83584,23838.1,2023-07-01,2023-07-31,Paid,USD
INV-00107,VEND-054,Jones Inc,BU-04,PO-93283,GRN-70852,32558.79,2023-12-24,2024-01-23,Overdue,USD
INV-00108,VEND-075,"Daniels, Adkins and Brown",BU-03,PO-25292,GRN-28320,32637.35,2023-02-19,2023-03-21,Paid,USD
INV-00109,VEND-007,"Henderson, Ramirez and Lewis",BU-03,PO-74569,GRN-25220,15566.05,2023-08-30,2023-09-29,Paid,USD
INV-00110,VEND-135,"Lawson, Morris and Ramos",BU-01,PO-69459,GRN-58629,7215.37,2023-07-27,2023-08-26,Paid,USD
INV-00111,VEND-136,"Lewis, Kennedy and Santana",BU-02,PO-30253,GRN-64379,21246.77,2023-01-11,2023-02-10,Paid,USD
INV-00112,VEND-123,"Joyce, Wilson and Lam",BU-02,PO-46666,GRN-14288,30974.78,2023-12-19,2024-01-18,Paid,USD
INV-00113,VEND-053,"Robinson, Jones and Welch",BU-01,PO-40947,GRN-57537,22447.46,2023-06-03,2023-07-03,Paid,USD
INV-00114,VEND-092,"Garcia, Humphrey and Baker",BU-05,PO-94518,GRN-57012,27451.06,2023-08-18,2023-09-17,Paid,USD
INV-00115,VEND-068,Russell Group,BU-02,PO-26011,GRN-69600,9895.52,2023-08-08,2023-09-07,Paid,USD
INV-00116,VEND-052,Chapman and Sons,BU-01,PO-88269,GRN-12799,32264.37,2023-09-15,2023-10-15,Paid,USD
INV-00117,VEND-083,"Edwards, Baker and Anderson",BU-01,PO-26505,GRN-84000,12556.66,2023-01-11,2023-02-10,Paid,USD
INV-00118,VEND-139,Chambers and Sons,BU-01,PO-38305,GRN-40539,10754.29,2023-02-02,2023-03-04,Paid,USD
INV-00119,VEND-035,Rodriguez-Graham,BU-01,PO-88116,GRN-10371,39537.87,2023-09-07,2023-10-07,Paid,USD
INV-00120,VEND-035,Rodriguez-Graham,BU-01,PO-80807,GRN-42853,49382.6,2023-06-16,2023-07-16,Paid,USD
INV-00121,VEND-026,Baker and Sons,BU-01,PO-13379,GRN-27275,33222.35,2023-02-22,2023-03-24,Paid,USD
INV-00122,VEND-058,Lee-Davis,BU-02,PO-12068,GRN-32838,29648.22,2023-12-03,2024-01-02,Paid,USD
INV-00123,VEND-030,Burton Ltd,BU-03,PO-78955,GRN-24896,37215.04,2023-06-29,2023-07-29,Paid,USD
INV-00124,VEND-119,"Rivera, Johnson and Wiley",BU-03,PO-57453,GRN-77271,22689.62,2023-03-12,2023-04-11,Paid,USD
INV-00125,VEND-113,Gonzalez Group,BU-02,PO-90623,GRN-15683,25440.02,2023-01-20,2023-02-19,Paid,USD
INV-00126,VEND-131,Spencer-Lee,BU-04,PO-94323,GRN-14082,15430.7,2023-04-12,2023-05-12,Paid,USD
INV-00127,VEND-120,White-Estes,BU-03,PO-65872,GRN-99928,42441.28,2023-05-28,2023-06-27,Paid,USD
INV-00128,VEND-111,"Shields, Cochran and Adams",BU-03,PO-20589,GRN-52219,4137.79,2023-05-08,2023-06-07,Paid,USD
INV-00129,VEND-014,Williams and Sons,BU-02,PO-91830,GRN-92978,6746.48,2023-03-24,2023-04-23,Paid,USD
INV-00130,VEND-081,Sandoval-Cunningham,BU-02,PO-88301,GRN-79541,19354.77,2023-06-26,2023-07-26,Paid,USD
INV-00131,VEND-127,Diaz Inc,BU-04,PO-22999,GRN-24996,30468.63,2023-05-07,2023-06-06,Pending,USD
INV-00132,VEND-139,Chambers and Sons,BU-01,PO-38183,GRN-66370,36181.58,2023-05-12,2023-06-11,Paid,USD
INV-00133,VEND-056,"Washington, Ryan and Cummings",BU-04,PO-69441,GRN-62262,20983.77,2023-10-23,2023-11-22,Paid,USD
INV-00134,VEND-022,Perez Inc,BU-04,PO-50963,GRN-97177,15971.14,2023-12-08,2024-01-07,Paid,USD
INV-00135,VEND-037,"Baker, Mason and White",BU-02,PO-72163,GRN-18799,34497.64,2023-05-28,2023-06-27,Paid,USD
INV-00136,VEND-019,"Reid, Ferguson and Sanchez",BU-01,PO-22656,GRN-58843,5114.89,2023-04-19,2023-05-19,Pending,USD
INV-00137,VEND-140,Hernandez Inc,BU-03,PO-83608,GRN-83620,3469.06,2023-10-20,2023-11-19,Paid,USD
INV-00138,VEND-029,"Snyder, Campos and Callahan",BU-01,PO-97207,GRN-65435,20835.03,2023-11-20,2023-12-20,Pending,USD
INV-00139,VEND-011,Dudley Group,BU-01,PO-88696,GRN-50953,48435.73,2023-06-13,2023-07-13,Paid,USD
INV-00140,VEND-145,Stafford Inc,BU-05,PO-30280,GRN-96079,25616.92,2023-04-08,2023-05-08,Paid,USD
INV-00141,VEND-025,Wilkerson-Day,BU-02,PO-82910,GRN-58176,17830.64,2023-11-21,2023-12-21,Paid,USD
INV-00142,VEND-069,Hancock Inc,BU-01,PO-66244,GRN-83526,28917.95,2023-02-01,2023-03-03,Overdue,USD
INV-00143,VEND-140,Hernandez Inc,BU-03,PO-96223,GRN-45054,1799.56,2023-07-02,2023-08-01,Paid,USD
INV-00144,VEND-067,Novak and Sons,BU-02,PO-50499,GRN-54541,35283.59,2023-01-08,2023-02-07,Paid,USD
INV-00145,VEND-044,"Arroyo, Miller and Tucker",BU-02,PO-84228,GRN-96159,43558.2,2023-10-18,2023-11-17,Paid,USD
INV-00146,VEND-034,"Dyer, Potter and Mack",BU-03,PO-14018,GRN-22026,37177.97,2023-07-29,2023-08-28,Paid,USD
INV-00147,VEND-053,"Robinson, Jones and Welch",BU-01,PO-69460,GRN-54681,19121.62,2023-01-21,2023-02-20,Paid,USD
INV-00148,VEND-077,Yu Inc,BU-05,PO-84395,GRN-88148,36219.0,2023-05-16,2023-06-15,Paid,USD
INV-00149,VEND-011,Dudley Group,BU-01,PO-90981,GRN-16522,8201.21,2023-03-29,2023-04-28,Paid,USD
INV-00150,VEND-067,Novak and Sons,BU-02,PO-65576,GRN-73656,22434.09,2023-09-10,2023-10-10,Paid,USD
INV-00151,VEND-104,Nolan-Flynn,BU-03,PO-77154,GRN-24918,14021.76,2023-01-27,2023-02-26,Paid,USD
INV-00152,VEND-026,Baker and Sons,BU-01,PO-98930,GRN-87743,14520.7,2023-10-31,2023-11-30,Paid,USD
INV-00153,VEND-076,"Woods, Calhoun and Schmidt",BU-02,PO-61807,GRN-88554,2748.16,2023-09-11,2023-10-11,Paid,USD
INV-00154,VEND-050,"Brooks, Lam and Hayes",BU-04,PO-37686,GRN-27987,15420.26,2023-01-16,2023-02-15,Paid,USD
INV-00155,VEND-072,Henderson-Bernard,BU-03,PO-11013,GRN-75193,16742.06,2023-10-20,2023-11-19,Paid,USD
INV-00156,VEND-042,Rodriguez LLC,BU-03,PO-79806,GRN-40161,6894.69,2023-01-13,2023-02-12,Paid,USD
INV-00157,VEND-088,Suarez LLC,BU-05,PO-15544,GRN-67176,4067.74,2023-04-07,2023-05-07,Paid,USD
INV-00158,VEND-017,"Flowers, Martin and Kelly",BU-05,PO-85465,GRN-66267,43174.45,2023-03-19,2023-04-18,Paid,USD
INV-00159,VEND-104,Nolan-Flynn,BU-03,PO-63088,GRN-12733,14831.0,2023-11-22,2023-12-22,Overdue,USD
INV-00160,VEND-041,George Group,BU-04,PO-91018,GRN-70305,40165.45,2023-01-08,2023-02-07,Pending,USD
INV-00161,VEND-090,"Turner, Riggs and Roman",BU-03,PO-23875,GRN-41891,4862.43,2023-08-30,2023-09-29,Paid,USD
INV-00162,VEND-100,Figueroa PLC,BU-03,PO-61873,GRN-50668,26436.15,2023-03-01,2023-03-31,Paid,USD
INV-00163,VEND-054,Jones Inc,BU-04,PO-32037,GRN-20011,16986.9,2023-04-03,2023-05-03,Paid,USD
INV-00164,VEND-027,"Hoffman, Baker and Richards",BU-05,PO-35415,GRN-55793,26764.94,2023-02-19,2023-03-21,Paid,USD
INV-00165,VEND-035,Rodriguez-Graham,BU-01,PO-29194,GRN-43550,12195.31,2023-07-03,2023-08-02,Paid,USD
INV-00166,VEND-037,"Baker, Mason and White",BU-02,PO-95918,GRN-19876,38130.66,2023-09-17,2023-10-17,Paid,USD
INV-00167,VEND-124,Scott Ltd,BU-02,PO-83889,GRN-85952,23465.68,2023-02-14,2023-03-16,Paid,USD
INV-00168,VEND-142,Gibson Ltd,BU-04,PO-91857,GRN-52363,32328.1,2023-08-08,2023-09-07,Pending,USD
INV-00169,VEND-078,Jones Inc,BU-01,PO-18950,GRN-71462,7972.39,2023-03-26,2023-04-25,Paid,USD
INV-00170,VEND-075,"Daniels, Adkins and Brown",BU-03,PO-87518,GRN-17362,39918.32,2023-06-30,2023-07-30,Paid,USD
INV-00171,VEND-016,James Group,BU-03,PO-69233,GRN-14929,15865.19,2023-09-29,2023-10-29,Paid,USD
INV-00172,VEND-071,House-Glover,BU-03,PO-21835,GRN-90610,4298.18,2023-04-10,2023-05-10,Paid,USD
INV-00173,VEND-096,Wagner-King,BU-04,PO-82655,GRN-15376,23404.23,2023-10-25,2023-11-24,Paid,USD
INV-00174,VEND-144,Hernandez Ltd,BU-02,PO-52143,GRN-89299,32765.95,2023-05-24,2023-06-23,Paid,USD
INV-00175,VEND-036,Smith-Bowen,BU-01,PO-69050,GRN-23566,47907.26,2023-03-07,2023-04-06,Pending,USD
INV-00176,VEND-085,Smith PLC,BU-02,PO-21053,GRN-76132,49128.09,2023-08-24,2023-09-23,Paid,USD
INV-00177,VEND-008,Garcia-James,BU-01,PO-67377,GRN-67595,12763.31,2023-08-24,2023-09-23,Paid,USD
INV-00178,VEND-038,Harrell LLC,BU-01,PO-47079,GRN-60779,18512.95,2023-10-18,2023-11-17,Paid,USD
INV-00179,VEND-084,"Evans, Stewart and Walton",BU-01,PO-16863,GRN-92691,34105.44,2023-10-06,2023-11-05,Paid,USD
INV-00180,VEND-014,Williams and Sons,BU-02,PO-83133,GRN-98916,16819.69,2023-02-14,2023-03-16,Paid,USD
INV-00181,VEND-062,Wright and Sons,BU-04,PO-96057,GRN-88997,36324.82,2023-10-30,2023-11-29,Pending,USD
INV-00182,VEND-083,"Edwards, Baker and Anderson",BU-01,PO-96980,GRN-28537,4534.35,2023-11-15,2023-12-15,Overdue,USD
INV-00183,VEND-077,Yu Inc,BU-05,PO-96787,GRN-61374,48400.98,2023-03-05,2023-04-04,Paid,USD
INV-00184,VEND-019,"Reid, Ferguson and Sanchez",BU-01,PO-59372,GRN-94343,15824.3,2023-05-01,2023-05-31,Paid,USD
INV-00185,VEND-030,Burton Ltd,BU-03,PO-99838,GRN-78995,33670.76,2023-02-11,2023-03-13,Paid,USD
INV-00186,VEND-106,"Wright, Garcia and Deleon",BU-03,PO-12389,GRN-57526,25670.18,2023-08-13,2023-09-12,Paid,USD
INV-00187,VEND-052,Chapman and Sons,BU-01,PO-73736,GRN-35166,17415.75,2023-01-10,2023-02-09,Paid,USD
INV-00188,VEND-033,Frazier Inc,BU-03,PO-48770,GRN-23256,8169.79,2023-12-27,2024-01-26,Paid,USD
INV-00189,VEND-136,"Lewis, Kennedy and Santana",BU-02,PO-79013,GRN-14947,41838.43,2023-05-02,2023-06-01,Paid,USD
INV-00190,VEND-031,Carlson-Cruz,BU-02,PO-30218,GRN-31266,30063.7,2023-08-12,2023-09-11,Paid,USD
INV-00191,VEND-040,Ryan PLC,BU-05,PO-15726,GRN-63852,36198.56,2023-09-21,2023-10-21,Paid,USD
INV-00192,VEND-058,Lee-Davis,BU-02,PO-90031,GRN-47346,48494.64,2023-12-19,2024-01-18,Paid,USD
INV-00193,VEND-112,"Rodriguez, Brennan and Garrison",BU-02,PO-41348,GRN-50562,12083.15,2023-05-26,2023-06-25,Overdue,USD
INV-00194,VEND-118,May-Ross,BU-01,PO-35430,GRN-58213,45246.73,2023-06-04,2023-07-04,Paid,USD
INV-00195,VEND-144,Hernandez Ltd,BU-02,PO-70513,GRN-46932,49229.77,2023-10-05,2023-11-04,Paid,USD
INV-00196,VEND-126,"Mcdaniel, Bentley and Mclaughlin",BU-04,PO-31241,GRN-36174,26609.26,2023-03-19,2023-04-18,Pending,USD
INV-00197,VEND-033,Frazier Inc,BU-03,PO-16839,GRN-94040,43713.6,2023-01-30,2023-03-01,Paid,USD
INV-00198,VEND-093,Newton and Sons,BU-02,PO-23446,GRN-77621,27949.77,2023-08-18,2023-09-17,Pending,USD
INV-00199,VEND-070,Gray Group,BU-05,PO-31012,GRN-45755,4651.82,2023-09-26,2023-10-26,Paid,USD
INV-00200,VEND-129,Cortez LLC,BU-05,PO-67340,GRN-22021,7793.76,2023-11-19,2023-12-19,Overdue,USD
INV-00201,VEND-054,Jones Inc,BU-04,PO-55820,GRN-13495,40926.81,2023-09-01,2023-10-01,Paid,USD
INV-00202,VEND-099,Walsh LLC,BU-03,PO-40903,GRN-60615,25349.35,2023-04-05,2023-05-05,Overdue,USD
INV-00203,VEND-093,Newton and Sons,BU-02,PO-51770,GRN-22987,11614.67,2023-02-09,2023-03-11,Pending,USD
INV-00204,VEND-083,"Edwards, Baker and Anderson",BU-01,PO-28035,GRN-15020,39673.34,2023-09-28,2023-10-28,Paid,USD
INV-00205,VEND-118,May-Ross,BU-01,PO-28191,GRN-71487,34955.56,2023-10-28,2023-11-27,Paid,USD
INV-00206,VEND-888,Global Logistics Shell,BU-02,PO-12490,GRN-43544,45339.95,2023-04-28,2023-05-28,Paid,USD
